word,sentiment
baths,0.861
varied,0.87
specifically,0.863
favour,0.262
establishing,0.404
expo,0.845
collapse,-0.304
exhibit,0.138
drain,0.478
opinions,-0.827
improvements,0.748
miller,0.305
settled,0.329
trades,0.781
carefully,0.66
petroleum,0.865
width,-0.764
arch,0.649
managers,0.778
blame,-0.659
properly,-0.855
registered,0.833
accidents,-0.8
constructed,0.175
interior,0.904
wildlife,-0.785
dominant,0.539
column,0.761
especially,0.777
approach,0.329
metabolism,0.895
apache,0.845
acknowledged,0.282
retain,0.204
contribute,0.8
enclosure,0.167
fathers,-0.563
determining,0.66
mask,0.814
brilliant,0.845
occasional,-0.815
wish,0.821
humor,0.935
investor,0.846
matrix,0.108
featured,0.886
statutes,-0.847
accomplished,0.849
coated,0.48
sensor,0.789
harris,-0.798
apparently,0.944
magnitude,0.184
maintained,0.84
chess,0.205
contacted,0.132
wax,0.831
keys,0.873
rejected,-0.329
tragedy,-0.988
poet,0.772
verify,0.113
foster,0.962
essence,0.756
sheer,-0.868
completed,0.932
thanks,0.329
pastor,0.809
anne,-0.847
context,0.132
exhibits,0.138
fan,0.917
ribbon,-0.647
collins,0.287
lamps,-0.781
dirt,-0.589
bored,-0.329
cargo,-0.858
mysterious,0.835
fence,-0.296
cleanup,0.967
bidder,0.86
part,0.614
ruth,0.789
revisions,0.984
casino,0.844
outdoor,0.803
peripherals,0.953
wallpapers,0.609
lounge,0.782
subscribers,0.799
singing,0.152
hair,-0.821
outer,0.826
gourmet,0.885
archives,0.846
meets,0.657
mia,-0.884
saint,0.84
wired,0.883
gift,0.516
integrated,0.828
considerable,0.368
yes,0.648
guild,-0.988
gold,0.813
marion,0.875
algebra,0.885
referred,0.816
muscle,0.841
valuable,0.157
ear,0.829
percent,0.132
fund,0.827
key,0.873
fold,-0.813
logo,-0.169
serial,-0.209
designers,0.215
concerns,-0.945
logs,-0.169
praise,0.659
drawings,0.475
apparent,0.944
mercy,0.66
educated,0.818
saved,0.889
findings,-0.826
surgeon,-0.876
mercury,0.815
province,0.541
sapphire,0.155
prepare,0.157
belt,0.199
bruce,0.684
revealed,0.832
path,0.678
error,-0.664
cooked,0.894
recognized,0.337
asylum,-0.791
wrestling,0.766
record,0.824
professional,0.844
incorrect,-0.418
genres,-0.816
violin,0.875
algorithm,-0.814
proudly,0.676
recognize,0.337
flight,0.907
canvas,0.306
poetry,0.791
extras,0.923
heat,0.815
fly,0.977
wellness,0.916
earned,0.224
oils,-0.773
expected,0.809
long,0.844
undefined,0.778
omega,0.893
regarding,0.847
prison,-0.84
opportunity,0.883
allen,0.93
little,0.912
lion,-0.436
proved,0.541
comfortable,0.329
laboratory,0.847
treat,0.992
bulk,-0.187
bat,0.771
deposits,-0.412
colours,0.287
allow,0.849
wishing,0.895
overview,-0.161
biography,0.789
mortgage,-0.219
absolutely,0.825
sleep,0.871
captain,0.793
indeed,-0.885
scenario,-0.835
olympic,0.805
tone,0.196
worth,0.329
peak,0.229
exclusively,0.859
closer,-0.878
barriers,-0.786
nonprofit,-0.8
feet,-0.378
papua,-0.819
clear,0.865
levels,-0.23
manage,0.778
wood,0.25
compromise,0.279
appropriate,0.229
adapted,0.151
alleged,-0.853
retrieval,0.974
refinance,-0.145
weekends,0.465
principle,0.137
approximate,-0.833
surrey,0.329
along,-0.21
trained,-0.806
according,0.273
substance,0.961
inner,0.77
garlic,0.215
fleet,-0.561
agree,0.329
surprise,0.329
discussed,0.864
together,0.239
firewall,0.181
sharon,0.875
immunology,0.891
colored,0.287
supplied,0.865
secret,-0.835
roughly,-0.867
discover,0.791
syracuse,-0.854
hazard,-0.178
savings,0.781
debian,-0.834
thin,-0.781
harvey,-0.798
series,-0.209
encourages,0.66
platform,0.776
play,0.659
previously,0.9
deep,0.864
ink,0.155
detail,0.839
ross,0.231
consensus,0.834
ref,0.844
coupled,-0.838
stylus,0.777
defence,0.296
quantum,0.504
create,0.819
gallery,0.166
commitment,-0.854
centers,0.764
harvard,-0.798
ozone,-0.279
tackle,-0.975
comparable,0.237
renewal,0.987
spell,-0.936
represented,0.832
stack,-0.662
limits,-0.809
government,0.835
prospects,-0.837
mistress,-0.843
definitely,0.243
acts,0.329
criminal,-0.808
peripheral,0.953
bend,-0.463
greater,0.999
russian,-0.861
annex,-0.847
sustained,-0.643
code,0.213
friends,0.659
monitor,-0.793
significantly,0.289
ordering,0.293
dividend,-0.193
headquarters,-0.851
deficit,-0.131
stopped,-0.797
racial,-0.758
duncan,-0.793
cancer,-0.936
selling,0.761
academics,0.853
ports,-0.83
concluded,-0.762
heading,-0.851
twin,0.754
fort,0.788
circle,0.214
acceptable,0.33
ranges,0.945
baskets,0.206
neighbors,0.854
giant,0.839
navigator,0.909
instrument,0.847
fees,-0.813
finishing,0.543
incredible,0.827
march,0.875
fatal,-0.901
deputy,-0.971
argument,-0.443
points,0.991
solve,0.816
intent,0.178
abandoned,-0.329
soldier,-0.891
upgrade,0.857
elementary,0.841
headlines,-0.851
problems,-0.408
sorts,-0.329
experiencing,0.965
hugo,0.2
purse,-0.8
nickel,0.853
signatures,0.817
kings,0.859
brooklyn,-0.826
lid,0.135
cheese,0.953
dame,0.853
junk,-0.886
governance,0.835
bachelor,0.833
fear,-0.66
elect,-0.945
divide,-0.193
incomplete,-0.932
toolkit,0.808
pole,-0.918
earlier,0.829
villa,-0.863
around,0.78
dumb,-0.873
learners,0.401
ability,0.425
efficiently,0.237
ridge,0.853
related,0.902
santa,0.152
trek,0.668
victoria,0.867
centuries,0.764
cancelled,-0.858
adjustable,0.146
number,-0.471
scanners,0.181
accused,-0.499
absent,-0.48
novelty,0.789
statute,-0.847
trusts,0.659
restore,0.933
molecules,0.802
vampire,-0.875
agreements,0.329
cingular,-0.955
reasonably,0.17
meet,0.657
punch,-0.839
climbing,-0.968
dimensional,0.844
mystery,0.835
cornell,0.787
incorporate,0.777
invest,0.846
branches,-0.789
headline,-0.851
departmental,-0.412
licensed,-0.259
design,0.886
mixing,-0.973
climate,-0.968
shame,-0.659
procurement,0.931
following,0.181
extension,0.863
fit,0.847
listed,-0.807
brochures,0.861
faith,0.86
newspaper,0.849
verse,0.137
deployment,0.844
economy,-0.433
models,0.903
indian,0.778
hiking,0.298
cult,0.171
parts,0.614
serving,0.886
voip,0.167
bookings,-0.949
liver,-0.239
powerful,0.66
humans,0.869
gabriel,-0.66
closed,0.854
threaded,0.207
loans,-0.791
link,0.784
commit,0.79
cast,-0.846
stranger,-0.329
grants,0.779
nest,0.615
families,0.796
guidelines,-0.881
recent,0.764
airport,-0.955
minor,-0.282
bikini,0.808
brandon,-0.784
galleries,0.166
fever,-0.193
excel,0.773
crops,0.116
postcard,0.66
foam,0.835
prominent,0.878
painted,-0.803
theta,0.85
chapter,0.216
successful,0.962
prototype,0.783
strongly,0.878
bumper,0.147
capitol,0.817
covered,0.145
engage,0.873
toolbar,0.83
victor,0.867
input,0.845
letter,-0.83
toxic,-0.948
considers,0.368
blackjack,-0.888
steal,-0.897
sorry,-0.637
specified,0.863
portal,-0.83
fellow,-0.86
bite,-0.182
trademark,0.781
prompt,0.302
derived,0.207
worthy,0.329
harry,-0.798
remember,0.922
focal,0.798
private,-0.646
remain,-0.806
impact,0.878
mime,-0.154
yeast,0.189
smart,0.78
group,0.812
preliminary,-0.774
advert,0.835
electro,-0.945
believes,0.959
lenders,0.232
woods,0.819
biblical,-0.835
samples,0.117
calculators,0.3
reliable,0.865
queensland,0.228
willow,0.166
heavily,0.313
beads,0.681
dude,-0.855
occurred,-0.833
steam,0.898
trader,-0.816
performances,0.843
realtor,0.311
regardless,-0.847
federal,0.166
growing,0.996
exactly,0.86
predicted,0.861
agency,0.652
statewide,0.862
awareness,0.839
totally,0.122
arising,-0.803
distributor,0.617
expansion,0.859
header,-0.851
county,0.793
coach,-0.959
okay,0.207
enabled,0.695
exhaust,-0.819
prep,0.9
consistently,0.851
trainers,-0.806
diseases,-0.184
doors,0.875
shadows,-0.816
learn,0.401
disability,-0.844
decent,0.25
attend,0.82
complexity,-0.908
cursor,-0.264
united,0.891
curious,0.42
engaging,0.873
newfoundland,0.838
performs,0.843
controlling,-0.58
willing,0.659
lesbian,0.875
phase,0.845
measurements,0.163
ward,-0.456
finger,0.543
mighty,0.842
investments,-0.843
wider,0.164
enrollment,0.809
planets,0.659
mandatory,0.162
paradise,0.186
moral,0.999
compiler,-0.8
toshiba,-0.505
resolved,0.816
marked,-0.913
alert,0.66
perform,0.843
parker,-0.813
program,0.554
model,0.903
wealth,0.261
enhancement,0.962
patent,0.678
evanescence,-0.833
vegetables,0.29
finest,0.889
created,0.819
clock,-0.878
liquid,0.823
boundaries,0.788
wash,0.984
advice,0.808
share,0.875
intensive,0.845
circular,-0.809
guarantee,0.17
kind,0.66
calculator,0.3
beef,0.863
impaired,-0.797
traffic,-0.658
planes,0.659
arrival,0.949
could,0.563
surfing,0.329
marine,-0.82
picked,0.215
indirect,-0.876
shapes,0.823
excerpt,0.209
defeat,-0.329
lanka,-0.842
deviant,-0.514
installed,0.82
remedies,0.918
magnificent,0.834
ceramic,0.951
winning,0.809
hampshire,-0.899
jail,-0.985
losing,-0.795
posted,-0.881
wooden,0.819
committee,-0.854
latex,-0.242
filename,-0.79
poem,0.166
discussing,0.864
grade,0.554
regression,-0.793
center,0.764
remained,0.887
moon,0.799
teachers,0.88
suffered,-0.66
impossible,-0.306
purpose,0.942
odd,-0.959
winston,0.809
freelance,0.495
unlock,0.328
connector,0.132
act,0.329
cage,-0.816
integrate,0.828
volunteers,0.827
hardcover,-0.28
civilian,0.949
fail,-0.94
bless,0.999
topic,0.814
allowance,0.839
norm,0.548
robots,0.797
boost,0.998
rotary,-0.803
browse,0.877
cool,0.329
level,-0.23
pounds,-0.991
hands,0.845
legislature,-0.84
drag,0.475
brands,-0.784
freight,-0.848
aspects,-0.801
issues,-0.271
roberts,0.285
burden,-0.874
featuring,0.819
damaged,-0.881
explains,0.218
robust,0.873
missions,0.979
adds,0.794
religion,0.804
bonds,0.966
working,0.844
rain,0.786
deal,0.2
mature,0.841
naval,0.141
pattern,-0.828
teaches,0.88
seriously,0.329
heel,-0.943
emissions,-0.883
dare,0.934
ballet,-0.139
differences,-0.833
strengthen,0.85
landing,0.141
safely,0.174
shades,-0.999
tourist,-0.86
infants,0.857
calling,-0.815
glenn,0.999
secured,0.329
college,0.287
false,-0.859
contacts,0.132
thumbs,-0.832
businesses,-0.81
necessity,0.441
roster,0.231
flesh,0.149
members,-0.185
tabs,0.19
difficult,-0.841
genome,-0.816
vintage,0.616
burn,-0.873
finnish,0.543
gender,-0.816
anthropology,0.812
tale,0.819
consequently,0.782
implies,-0.968
confident,0.329
memories,0.944
archive,0.846
fitness,0.529
consult,0.132
owen,-0.857
received,0.837
supplements,0.787
pressure,-0.852
dragon,-0.654
ambient,0.815
claimed,-0.846
mouse,-0.17
facilitate,0.894
planned,0.659
np,0.806
seniors,0.898
deals,0.2
loved,0.66
salaries,0.158
essay,0.877
achieve,0.858
groundwater,0.853
improvement,0.916
brakes,0.826
hazards,-0.178
reality,0.872
family,0.796
dairy,0.167
corresponding,0.192
character,0.66
chuck,-0.836
proprietary,-0.793
affect,0.66
algorithms,-0.814
cent,0.764
receipt,0.244
involvement,0.838
removing,0.847
donate,0.829
cons,0.132
bunch,0.972
largely,0.877
routes,0.214
highest,0.198
rebecca,0.841
validity,0.849
discrete,0.862
bibliographic,0.608
green,0.209
mirror,-0.881
swift,0.196
purposes,0.942
wiring,-0.998
consequences,0.782
republicans,-0.818
corrected,0.894
suppliers,0.818
generators,0.818
pressing,0.9
realize,0.872
heaven,0.207
supported,0.823
roommates,0.823
carried,0.146
delivered,0.843
licensing,-0.259
stuffed,-0.694
ride,0.853
cathedral,0.195
crude,-0.865
zip,-0.814
fans,0.917
wan,-0.106
reload,0.803
qualifying,0.495
celebrate,0.818
charity,0.66
urge,-0.846
biz,0.885
matters,-0.181
wisdom,0.853
copied,0.879
indicate,0.253
setup,-0.847
benefit,0.594
disturbed,-0.329
electronic,-0.945
wing,0.809
traveling,0.926
handed,0.845
removed,-0.809
change,0.948
render,-0.793
pregnant,-0.836
surgeons,-0.876
scheme,0.529
bullet,-0.64
friendly,0.659
outreach,0.843
infant,0.857
girls,-0.257
viruses,-0.229
necessarily,0.965
motorola,0.316
confidence,0.329
colleagues,0.897
powers,0.66
panic,-0.999
carry,0.146
briefly,-0.775
groove,0.966
ruby,-0.833
info,0.596
wallet,-0.844
equilibrium,0.659
modified,0.429
dollars,0.967
explaining,0.218
release,0.827
anniversary,0.792
made,-0.659
gambling,-0.89
since,-0.999
rat,-0.224
healthy,0.998
advances,0.848
procedure,0.493
conclusion,0.853
waiver,0.524
madness,-0.409
excited,0.66
creatures,-0.855
packard,0.966
warranty,-0.79
earning,0.224
settlement,0.329
remainder,-0.879
describes,0.869
sheets,-0.786
missing,-0.796
annual,-0.847
successfully,0.962
actually,0.329
thick,0.11
burning,-0.873
locking,-0.328
lesbians,0.875
automobiles,0.838
quilt,0.213
tsunami,-0.968
nasdaq,-0.309
kept,-0.869
cartridge,0.66
winter,-0.815
metal,-0.597
plates,0.822
maine,0.887
both,0.851
equipment,0.166
incidents,-0.828
laboratories,0.847
pretty,0.888
columbia,0.287
what,-0.85
aruba,0.833
maintain,0.84
investment,-0.843
sample,0.117
rather,-0.224
remarkable,0.857
fridge,-0.803
achieved,0.858
chronicle,-0.394
knit,-0.784
lifestyle,0.291
deer,-0.804
granted,0.891
receiving,0.751
contributor,0.879
rural,0.114
pride,0.634
raid,-0.756
buying,0.527
wait,-0.216
roots,0.312
sandy,-0.896
incident,-0.833
head,-0.851
determined,0.66
arrangement,0.856
desire,0.659
helen,-0.98
conferencing,0.815
architecture,0.851
regulated,0.887
highlights,0.835
readings,0.571
automated,0.835
bride,0.798
fed,0.758
fault,-0.637
starts,-0.877
bucks,-0.539
discusses,0.864
bean,0.259
gifts,0.516
upgrading,0.857
ceremony,0.832
warning,-0.236
sisters,0.907
appointment,0.85
biographies,0.789
invoice,0.286
forgotten,-0.875
grows,0.996
regarded,0.847
livestock,0.851
eligible,0.599
headed,-0.851
spam,-0.867
demanding,-0.235
trance,0.428
fired,-0.441
mounts,0.781
operate,0.43
altered,-0.186
expect,-0.196
buses,-0.81
scanned,-0.611
astrology,-0.397
rubber,0.794
insurance,0.868
presence,-0.833
explicitly,0.783
greatly,0.999
defines,-0.572
leaf,0.792
armed,-0.411
panels,0.861
further,-0.999
diverse,0.879
completely,0.932
discount,0.859
hans,0.873
replace,-0.894
freely,0.495
elegant,0.898
ordinary,0.594
excluding,-0.885
contain,0.132
cooling,0.329
district,0.897
bingo,0.824
swimming,0.893
annie,-0.847
tongue,0.839
stop,-0.797
wants,0.826
newspapers,0.782
translated,0.887
basin,0.799
sync,0.854
spin,-0.879
talks,-0.873
dip,-0.814
binary,-0.31
helping,0.66
leasing,-0.899
kilometers,0.979
valued,0.156
bear,0.144
referrals,0.689
dam,-0.828
nirvana,0.947
highs,0.198
upper,0.179
behalf,0.831
copies,0.879
ranks,-0.66
exclude,-0.885
lazy,0.28
portable,0.89
believed,0.959
capacity,0.197
publisher,0.197
packet,0.966
improve,0.748
harder,-0.28
gras,0.554
occurrence,0.896
graham,-0.496
wage,0.852
mother,0.27
press,0.9
voltage,0.83
exposed,-0.208
content,0.33
flyer,0.838
royal,0.923
nerve,-0.812
past,-0.77
click,0.823
temperature,0.814
driven,0.876
chance,0.801
